starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:38:20 2023	1682901500	4	15625	15629	139
Sun Apr 30 20:39:10 2023	1682901550	1	15628	15629	99
Sun Apr 30 20:39:40 2023	1682901580	2	15628	15630	370
Sun Apr 30 20:37:43 2023	1682901463	1	15631	15632	82
Sun Apr 30 20:39:26 2023	1682901566	1	15631	15632	62
Sun Apr 30 20:39:26 2023	1682901566	2	15632	15634	194
Sun Apr 30 20:38:19 2023	1682901499	1	15633	15634	109
Sun Apr 30 20:39:25 2023	1682901565	3	15632	15635	138
Sun Apr 30 20:38:18 2023	1682901498	1	15635	15636	103
Sun Apr 30 20:38:53 2023	1682901533	2	15634	15636	162
Sun Apr 30 20:38:20 2023	1682901500	4	15633	15637	102
Sun Apr 30 20:37:15 2023	1682901435	0	15638	15638	361
Sun Apr 30 20:39:39 2023	1682901579	1	15644	15645	107
Sun Apr 30 20:38:19 2023	1682901499	1	15646	15647	128
Sun Apr 30 20:39:38 2023	1682901578	2	15650	15652	109
Sun Apr 30 20:38:21 2023	1682901501	4	15650	15654	282
Sun Apr 30 20:39:23 2023	1682901563	1	15653	15654	164
Sun Apr 30 20:38:53 2023	1682901533	2	15654	15656	141
Sun Apr 30 20:37:15 2023	1682901435	1	15655	15656	304
Sun Apr 30 20:38:20 2023	1682901500	11	15649	15660	198
Sun Apr 30 20:39:23 2023	1682901563	0	15661	15661	75
Sun Apr 30 20:38:20 2023	1682901500	3	15658	15661	210
Sun Apr 30 20:39:26 2023	1682901566	9	15653	15662	209
Sun Apr 30 20:38:20 2023	1682901500	2	15660	15662	237
Sun Apr 30 20:39:25 2023	1682901565	1	15662	15663	113
Sun Apr 30 20:37:48 2023	1682901468	1	15664	15665	102
Sun Apr 30 20:38:20 2023	1682901500	8	15657	15665	201
Sun Apr 30 20:38:52 2023	1682901532	1	15666	15667	116
Sun Apr 30 20:38:19 2023	1682901499	4	15664	15668	102
Sun Apr 30 20:39:06 2023	1682901546	2	15668	15670	113
Sun Apr 30 20:38:19 2023	1682901499	2	15671	15673	159
Sun Apr 30 20:39:22 2023	1682901562	3	15670	15673	89
Sun Apr 30 20:38:19 2023	1682901499	10	15664	15674	134
Sun Apr 30 20:39:26 2023	1682901566	4	15679	15683	242
Sun Apr 30 20:38:19 2023	1682901499	0	15684	15684	151
Sun Apr 30 20:38:50 2023	1682901530	3	15682	15685	68
Sun Apr 30 20:37:15 2023	1682901435	2	15686	15688	129
Sun Apr 30 20:39:39 2023	1682901579	1	15687	15688	128
Sun Apr 30 20:38:20 2023	1682901500	3	15687	15690	182
Sun Apr 30 20:38:19 2023	1682901499	1	15692	15693	135
Sun Apr 30 20:38:53 2023	1682901533	1	15694	15695	131
Sun Apr 30 20:38:20 2023	1682901500	1	15695	15696	234
Sun Apr 30 20:39:24 2023	1682901564	2	15696	15698	94
Sun Apr 30 20:39:26 2023	1682901566	4	15695	15699	198
Sun Apr 30 20:38:20 2023	1682901500	3	15699	15702	169
Sun Apr 30 20:38:21 2023	1682901501	4	15699	15703	115
Sun Apr 30 20:38:54 2023	1682901534	4	15700	15704	88
Sun Apr 30 20:39:25 2023	1682901565	15	15690	15705	159
Sun Apr 30 20:37:15 2023	1682901435	0	15707	15707	717
Sun Apr 30 20:37:30 2023	1682901450	7	15700	15707	346
Sun Apr 30 20:39:38 2023	1682901578	4	15707	15711	98
Sun Apr 30 20:38:20 2023	1682901500	1	15710	15711	127
Sun Apr 30 20:39:23 2023	1682901563	1	15719	15720	127
Sun Apr 30 20:39:24 2023	1682901564	1	15720	15721	104
Sun Apr 30 20:39:25 2023	1682901565	6	15716	15722	111
Sun Apr 30 20:38:20 2023	1682901500	6	15718	15724	182
Sun Apr 30 20:39:24 2023	1682901564	3	15728	15731	117
Sun Apr 30 20:39:22 2023	1682901562	1	15731	15732	94
Sun Apr 30 20:39:39 2023	1682901579	0	15738	15738	116
Sun Apr 30 20:39:39 2023	1682901579	4	15741	15745	129
Sun Apr 30 20:37:46 2023	1682901466	3	15745	15748	131
Sun Apr 30 20:38:51 2023	1682901531	2	15747	15749	98
Sun Apr 30 20:39:07 2023	1682901547	1	15749	15750	138
Sun Apr 30 20:38:21 2023	1682901501	4	15746	15750	379
Sun Apr 30 20:39:24 2023	1682901564	4	15747	15751	118
Sun Apr 30 20:37:32 2023	1682901452	5	15754	15759	138
Sun Apr 30 20:38:53 2023	1682901533	1	15759	15760	124
Sun Apr 30 20:39:37 2023	1682901577	1	15761	15762	78
Sun Apr 30 20:38:19 2023	1682901499	4	15759	15763	151
Sun Apr 30 20:38:19 2023	1682901499	1	15762	15763	124
Sun Apr 30 20:38:23 2023	1682901503	1	15763	15764	91
Sun Apr 30 20:37:15 2023	1682901435	0	15765	15765	568
Sun Apr 30 20:38:54 2023	1682901534	1	15765	15766	103
Sun Apr 30 20:38:51 2023	1682901531	5	15761	15766	170
Sun Apr 30 20:39:25 2023	1682901565	5	15764	15769	139
Sun Apr 30 20:38:20 2023	1682901500	1	15770	15771	89
Sun Apr 30 20:38:21 2023	1682901501	4	15767	15771	171
Sun Apr 30 20:38:18 2023	1682901498	2	15770	15772	89
Sun Apr 30 20:38:16 2023	1682901496	2	15772	15774	99
Sun Apr 30 20:38:52 2023	1682901532	0	15774	15774	115
Sun Apr 30 20:37:15 2023	1682901435	1	15775	15776	168
Sun Apr 30 20:39:24 2023	1682901564	3	15774	15777	121
Sun Apr 30 20:38:20 2023	1682901500	2	15779	15781	96
Sun Apr 30 20:37:15 2023	1682901435	1	15780	15781	436
Sun Apr 30 20:37:15 2023	1682901435	1	15783	15784	472
Sun Apr 30 20:39:08 2023	1682901548	6	15779	15785	198
Sun Apr 30 20:38:51 2023	1682901531	1	15786	15787	78
Sun Apr 30 20:39:23 2023	1682901563	5	15782	15787	219
Sun Apr 30 20:37:15 2023	1682901435	0	15788	15788	487
Sun Apr 30 20:39:39 2023	1682901579	5	15785	15790	157
Sun Apr 30 20:38:19 2023	1682901499	1	15790	15791	99
Sun Apr 30 20:38:03 2023	1682901483	0	15792	15792	98
Sun Apr 30 20:39:39 2023	1682901579	1	15791	15792	80
Sun Apr 30 20:37:31 2023	1682901451	3	15791	15794	104
Sun Apr 30 20:39:07 2023	1682901547	1	15794	15795	91
Sun Apr 30 20:37:30 2023	1682901450	5	15790	15795	129
Sun Apr 30 20:39:24 2023	1682901564	2	15794	15796	86
Sun Apr 30 20:38:20 2023	1682901500	2	15794	15796	97
Sun Apr 30 20:37:15 2023	1682901435	1	15801	15802	345
Sun Apr 30 20:39:38 2023	1682901578	3	15799	15802	120
Sun Apr 30 20:39:24 2023	1682901564	1	15802	15803	129
Sun Apr 30 20:39:25 2023	1682901565	1	15802	15803	161
Sun Apr 30 20:39:25 2023	1682901565	6	15799	15805	199
Sun Apr 30 20:39:39 2023	1682901579	2	15803	15805	101
Sun Apr 30 20:38:51 2023	1682901531	1	15805	15806	115
Sun Apr 30 20:38:51 2023	1682901531	3	15807	15810	125
Sun Apr 30 20:38:03 2023	1682901483	2	15809	15811	98
Sun Apr 30 20:39:23 2023	1682901563	1	15811	15812	84
Sun Apr 30 20:39:23 2023	1682901563	1	15816	15817	85
Sun Apr 30 20:37:15 2023	1682901435	0	15819	15819	371
Sun Apr 30 20:38:20 2023	1682901500	5	15814	15819	212
Sun Apr 30 20:38:52 2023	1682901532	2	15817	15819	119
Sun Apr 30 20:38:48 2023	1682901528	4	15817	15821	91
Sun Apr 30 20:39:25 2023	1682901565	2	15819	15821	53
Sun Apr 30 20:38:19 2023	1682901499	2	15820	15822	178
Sun Apr 30 20:37:15 2023	1682901435	0	15823	15823	307
Sun Apr 30 20:38:21 2023	1682901501	1	15822	15823	267
Sun Apr 30 20:39:24 2023	1682901564	2	15822	15824	99
Sun Apr 30 20:39:26 2023	1682901566	2	15823	15824	80
Sun Apr 30 20:39:38 2023	1682901578	16	15809	15825	93
Sun Apr 30 20:37:15 2023	1682901435	1	15824	15825	392
Sun Apr 30 20:39:35 2023	1682901575	2	15824	15826	109
Sun Apr 30 20:39:07 2023	1682901547	1	15825	15826	135
Sun Apr 30 20:38:53 2023	1682901533	6	15822	15828	97
Sun Apr 30 20:39:10 2023	1682901550	0	15828	15828	124
Sun Apr 30 20:38:52 2023	1682901532	1	15827	15828	78
Sun Apr 30 20:38:03 2023	1682901483	4	15831	15835	151
Sun Apr 30 20:38:51 2023	1682901531	1	15836	15837	146
Sun Apr 30 20:38:21 2023	1682901501	1	15839	15840	47
Sun Apr 30 20:38:19 2023	1682901499	2	15839	15841	125
Sun Apr 30 20:39:25 2023	1682901565	0	15843	15843	166
Sun Apr 30 20:39:23 2023	1682901563	2	15844	15845	124
Sun Apr 30 20:38:20 2023	1682901500	9	15837	15846	170
Sun Apr 30 20:39:38 2023	1682901578	1	15847	15848	73
Sun Apr 30 20:38:51 2023	1682901531	1	15848	15849	115
Sun Apr 30 20:38:18 2023	1682901498	1	15851	15852	81
Sun Apr 30 20:39:23 2023	1682901563	1	15852	15854	114
Sun Apr 30 20:38:03 2023	1682901483	3	15853	15856	83
Sun Apr 30 20:39:25 2023	1682901565	1	15857	15858	133
Sun Apr 30 20:39:23 2023	1682901563	3	15856	15859	74
Sun Apr 30 20:39:23 2023	1682901563	1	15859	15860	105
Sun Apr 30 20:38:16 2023	1682901496	1	15861	15862	86
Sun Apr 30 20:39:38 2023	1682901578	2	15862	15864	69
