starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:49:29 2023	1682902169	1	27470	27471	27459
Sun Apr 30 20:50:45 2023	1682902245	1	27470	27471	27470
Sun Apr 30 20:51:35 2023	1682902295	1	27470	27471	27470
Sun Apr 30 20:52:25 2023	1682902345	1	27471	27472	27470
Sun Apr 30 20:48:57 2023	1682902137	0	27475	27475	27475
Sun Apr 30 20:52:42 2023	1682902362	0	27479	27479	27479
Sun Apr 30 20:49:03 2023	1682902143	0	27479	27479	27479
Sun Apr 30 20:49:13 2023	1682902153	1	27478	27479	27478
Sun Apr 30 20:49:21 2023	1682902161	1	27478	27479	27478
Sun Apr 30 20:49:18 2023	1682902158	1	27478	27479	27478
Sun Apr 30 20:52:31 2023	1682902351	1	27478	27479	27478
Sun Apr 30 20:49:03 2023	1682902143	1	27479	27480	27479
Sun Apr 30 20:49:15 2023	1682902155	2	27478	27480	27478
Sun Apr 30 20:48:56 2023	1682902136	1	27479	27480	27479
Sun Apr 30 20:49:22 2023	1682902162	1	27479	27480	27479
Sun Apr 30 20:49:12 2023	1682902152	0	27480	27480	27478
Sun Apr 30 20:51:39 2023	1682902299	0	27480	27480	27478
Sun Apr 30 20:49:20 2023	1682902160	1	27479	27480	27479
Sun Apr 30 20:52:26 2023	1682902346	1	27480	27481	27479
Sun Apr 30 20:49:04 2023	1682902144	1	27482	27483	27482
Sun Apr 30 20:52:26 2023	1682902346	1	27482	27483	27482
Sun Apr 30 20:52:25 2023	1682902345	1	27483	27484	27482
Sun Apr 30 20:52:23 2023	1682902343	0	27489	27489	27489
Sun Apr 30 20:51:33 2023	1682902293	1	27488	27489	27488
Sun Apr 30 20:51:35 2023	1682902295	1	27488	27489	27488
Sun Apr 30 20:51:39 2023	1682902299	0	27489	27489	27489
Sun Apr 30 20:49:22 2023	1682902162	0	27489	27489	27488
Sun Apr 30 20:51:28 2023	1682902288	1	27488	27489	27488
Sun Apr 30 20:52:23 2023	1682902343	1	27488	27489	27488
Sun Apr 30 20:49:11 2023	1682902151	0	27489	27489	27489
Sun Apr 30 20:49:05 2023	1682902145	0	27489	27489	27486
Sun Apr 30 20:51:34 2023	1682902294	0	27489	27489	27488
Sun Apr 30 20:48:58 2023	1682902138	1	27488	27489	27488
Sun Apr 30 20:52:31 2023	1682902351	0	27490	27490	27480
Sun Apr 30 20:49:05 2023	1682902145	1	27489	27490	27489
Sun Apr 30 20:51:38 2023	1682902298	0	27490	27490	27489
Sun Apr 30 20:49:13 2023	1682902153	1	27489	27490	27489
Sun Apr 30 20:52:28 2023	1682902348	1	27489	27490	27489
Sun Apr 30 20:52:42 2023	1682902362	1	27489	27490	27489
Sun Apr 30 20:48:58 2023	1682902138	1	27489	27490	27488
Sun Apr 30 20:49:08 2023	1682902148	1	27489	27490	27488
Sun Apr 30 20:49:16 2023	1682902156	1	27490	27491	27490
Sun Apr 30 20:52:50 2023	1682902370	1	27490	27491	27490
Sun Apr 30 20:49:03 2023	1682902143	1	27490	27491	27489
Sun Apr 30 20:48:56 2023	1682902136	1	27491	27492	27490
Sun Apr 30 20:52:32 2023	1682902352	1	27493	27494	27493
Sun Apr 30 20:52:34 2023	1682902354	1	27495	27495	27494
Sun Apr 30 20:49:04 2023	1682902144	1	27497	27498	27496
