starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 21:04:32 2023	1682903072	1	308	309	298
Sun Apr 30 21:04:32 2023	1682903072	1	308	309	297
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	193
Sun Apr 30 21:04:32 2023	1682903072	1	308	309	291
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	277
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	261
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	280
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	273
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	264
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	263
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	274
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	274
Sun Apr 30 21:04:32 2023	1682903072	0	309	309	281
Sun Apr 30 21:04:31 2023	1682903071	0	309	309	224
Sun Apr 30 21:04:31 2023	1682903071	4	306	310	183
Sun Apr 30 21:04:31 2023	1682903071	1	309	310	266
Sun Apr 30 21:04:31 2023	1682903071	1	309	310	267
Sun Apr 30 21:04:31 2023	1682903071	1	310	311	197
Sun Apr 30 21:04:31 2023	1682903071	0	311	311	223
Sun Apr 30 21:04:31 2023	1682903071	0	311	311	286
Sun Apr 30 21:04:31 2023	1682903071	0	311	311	310
Sun Apr 30 21:04:31 2023	1682903071	1	311	312	193
Sun Apr 30 21:04:31 2023	1682903071	1	311	312	197
Sun Apr 30 21:04:31 2023	1682903071	1	311	312	306
Sun Apr 30 21:04:31 2023	1682903071	1	311	312	270
Sun Apr 30 21:04:31 2023	1682903071	1	311	312	212
Sun Apr 30 21:04:31 2023	1682903071	0	313	313	211
Sun Apr 30 21:04:31 2023	1682903071	0	313	313	213
Sun Apr 30 21:04:31 2023	1682903071	6	307	313	208
Sun Apr 30 21:04:32 2023	1682903072	1	312	313	292
Sun Apr 30 21:04:32 2023	1682903072	1	312	313	275
Sun Apr 30 21:04:31 2023	1682903071	1	312	313	303
Sun Apr 30 21:04:31 2023	1682903071	1	312	313	217
Sun Apr 30 21:04:31 2023	1682903071	0	314	314	222
Sun Apr 30 21:04:31 2023	1682903071	3	311	314	220
Sun Apr 30 21:04:32 2023	1682903072	1	314	315	306
Sun Apr 30 21:04:31 2023	1682903071	0	315	315	309
Sun Apr 30 21:04:31 2023	1682903071	2	313	315	304
Sun Apr 30 21:04:31 2023	1682903071	0	315	315	308
Sun Apr 30 21:04:31 2023	1682903071	1	314	315	306
Sun Apr 30 21:04:32 2023	1682903072	2	313	315	303
Sun Apr 30 21:04:31 2023	1682903071	1	315	316	314
Sun Apr 30 21:04:32 2023	1682903072	1	315	316	315
Sun Apr 30 21:04:31 2023	1682903071	2	314	316	215
Sun Apr 30 21:04:31 2023	1682903071	1	317	318	316
Sun Apr 30 21:04:31 2023	1682903071	1	317	318	317
Sun Apr 30 21:04:32 2023	1682903072	5	313	318	312
Sun Apr 30 21:04:32 2023	1682903072	1	317	318	317
Sun Apr 30 21:04:30 2023	1682903070	0	318	318	235
Sun Apr 30 21:04:32 2023	1682903072	1	318	319	313
Sun Apr 30 21:04:31 2023	1682903071	1	318	319	216
Sun Apr 30 21:04:31 2023	1682903071	1	319	320	220
Sun Apr 30 21:04:31 2023	1682903071	1	319	320	217
Sun Apr 30 21:04:31 2023	1682903071	1	319	320	219
Sun Apr 30 21:04:31 2023	1682903071	1	320	321	260
Sun Apr 30 21:04:30 2023	1682903070	0	322	322	277
Sun Apr 30 21:04:30 2023	1682903070	1	321	322	278
Sun Apr 30 21:04:32 2023	1682903072	1	321	322	263
Sun Apr 30 21:04:30 2023	1682903070	1	321	322	277
Sun Apr 30 21:04:31 2023	1682903071	0	323	323	260
Sun Apr 30 21:04:32 2023	1682903072	1	322	323	306
Sun Apr 30 21:04:30 2023	1682903070	0	323	323	275
Sun Apr 30 21:04:32 2023	1682903072	1	322	323	256
Sun Apr 30 21:04:32 2023	1682903072	1	323	324	322
Sun Apr 30 21:04:31 2023	1682903071	1	323	324	323
Sun Apr 30 21:04:30 2023	1682903070	1	323	324	306
Sun Apr 30 21:04:32 2023	1682903072	1	323	324	256
Sun Apr 30 21:04:30 2023	1682903070	1	324	325	286
Sun Apr 30 21:04:32 2023	1682903072	0	325	325	285
Sun Apr 30 21:04:32 2023	1682903072	1	324	325	288
Sun Apr 30 21:04:32 2023	1682903072	1	324	325	273
Sun Apr 30 21:04:32 2023	1682903072	1	324	325	324
Sun Apr 30 21:04:30 2023	1682903070	0	325	325	272
Sun Apr 30 21:04:32 2023	1682903072	1	324	325	261
Sun Apr 30 21:04:32 2023	1682903072	0	325	325	256
Sun Apr 30 21:04:32 2023	1682903072	1	324	325	259
Sun Apr 30 21:04:30 2023	1682903070	0	325	325	243
Sun Apr 30 21:04:30 2023	1682903070	1	325	326	284
Sun Apr 30 21:04:31 2023	1682903071	1	325	326	232
Sun Apr 30 21:04:31 2023	1682903071	1	325	326	262
Sun Apr 30 21:04:32 2023	1682903072	1	325	326	288
Sun Apr 30 21:04:32 2023	1682903072	1	325	326	289
Sun Apr 30 21:04:30 2023	1682903070	1	325	326	249
Sun Apr 30 21:04:31 2023	1682903071	1	326	327	325
Sun Apr 30 21:04:32 2023	1682903072	1	326	327	291
Sun Apr 30 21:04:32 2023	1682903072	1	326	327	287
Sun Apr 30 21:04:32 2023	1682903072	1	326	327	309
Sun Apr 30 21:04:30 2023	1682903070	1	326	327	311
Sun Apr 30 21:04:32 2023	1682903072	2	326	327	292
Sun Apr 30 21:04:30 2023	1682903070	1	327	328	288
Sun Apr 30 21:04:32 2023	1682903072	1	327	328	297
Sun Apr 30 21:04:30 2023	1682903070	1	327	328	253
Sun Apr 30 21:04:32 2023	1682903072	1	329	330	329
Sun Apr 30 21:04:32 2023	1682903072	1	329	330	329
Sun Apr 30 21:04:30 2023	1682903070	0	331	331	305
Sun Apr 30 21:04:32 2023	1682903072	1	331	332	322
Sun Apr 30 21:04:31 2023	1682903071	2	330	332	330
Sun Apr 30 21:04:31 2023	1682903071	0	332	332	237
Sun Apr 30 21:04:30 2023	1682903070	1	331	332	208
Sun Apr 30 21:04:32 2023	1682903072	1	331	332	299
Sun Apr 30 21:04:30 2023	1682903070	2	331	333	303
Sun Apr 30 21:04:30 2023	1682903070	1	332	333	228
Sun Apr 30 21:04:32 2023	1682903072	0	334	334	305
Sun Apr 30 21:04:30 2023	1682903070	1	333	334	305
Sun Apr 30 21:04:30 2023	1682903070	1	333	334	206
Sun Apr 30 21:04:30 2023	1682903070	0	333	334	202
Sun Apr 30 21:04:30 2023	1682903070	0	334	334	225
Sun Apr 30 21:04:30 2023	1682903070	1	334	335	225
Sun Apr 30 21:04:30 2023	1682903070	1	334	335	229
Sun Apr 30 21:04:30 2023	1682903070	1	334	335	321
Sun Apr 30 21:04:29 2023	1682903069	2	334	336	268
Sun Apr 30 21:04:30 2023	1682903070	0	336	336	321
Sun Apr 30 21:04:30 2023	1682903070	1	335	337	224
Sun Apr 30 21:04:30 2023	1682903070	3	334	337	307
Sun Apr 30 21:04:32 2023	1682903072	0	337	337	328
Sun Apr 30 21:04:30 2023	1682903070	1	337	338	318
Sun Apr 30 21:04:30 2023	1682903070	1	338	339	314
Sun Apr 30 21:04:32 2023	1682903072	1	338	339	331
Sun Apr 30 21:04:32 2023	1682903072	1	338	339	312
Sun Apr 30 21:04:30 2023	1682903070	1	338	339	314
Sun Apr 30 21:04:30 2023	1682903070	1	338	339	319
Sun Apr 30 21:04:30 2023	1682903070	2	337	339	228
Sun Apr 30 21:04:30 2023	1682903070	2	338	339	316
Sun Apr 30 21:04:30 2023	1682903070	0	340	340	314
Sun Apr 30 21:04:30 2023	1682903070	1	339	340	322
Sun Apr 30 21:04:30 2023	1682903070	0	340	340	319
Sun Apr 30 21:04:32 2023	1682903072	1	340	341	338
Sun Apr 30 21:04:30 2023	1682903070	0	341	341	334
Sun Apr 30 21:04:30 2023	1682903070	1	340	341	332
Sun Apr 30 21:04:30 2023	1682903070	1	340	341	334
Sun Apr 30 21:04:30 2023	1682903070	1	340	341	334
Sun Apr 30 21:04:32 2023	1682903072	2	339	341	311
Sun Apr 30 21:04:30 2023	1682903070	1	340	341	317
Sun Apr 30 21:04:30 2023	1682903070	1	340	341	325
Sun Apr 30 21:04:30 2023	1682903070	0	341	341	322
Sun Apr 30 21:04:30 2023	1682903070	0	341	341	327
Sun Apr 30 21:04:32 2023	1682903072	1	341	342	340
Sun Apr 30 21:04:30 2023	1682903070	0	342	342	319
Sun Apr 30 21:04:32 2023	1682903072	2	341	343	333
Sun Apr 30 21:04:32 2023	1682903072	1	342	343	322
Sun Apr 30 21:04:29 2023	1682903069	0	344	344	272
Sun Apr 30 21:04:32 2023	1682903072	1	343	344	319
Sun Apr 30 21:04:32 2023	1682903072	1	343	344	343
Sun Apr 30 21:04:30 2023	1682903070	1	343	344	317
Sun Apr 30 21:04:29 2023	1682903069	0	345	345	275
Sun Apr 30 21:04:32 2023	1682903072	1	344	345	319
Sun Apr 30 21:04:30 2023	1682903070	1	344	345	269
Sun Apr 30 21:04:30 2023	1682903070	1	345	346	237
Sun Apr 30 21:04:31 2023	1682903071	2	344	346	279
Sun Apr 30 21:04:30 2023	1682903070	0	346	346	233
Sun Apr 30 21:04:30 2023	1682903070	1	346	347	229
Sun Apr 30 21:04:31 2023	1682903071	0	347	347	274
Sun Apr 30 21:04:30 2023	1682903070	1	347	348	220
Sun Apr 30 21:04:30 2023	1682903070	0	348	348	231
