starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:59:58 2023	1682902798	1	27199	27200	27199
Sun Apr 30 20:56:30 2023	1682902590	1	27199	27200	27198
Sun Apr 30 20:56:16 2023	1682902576	1	27199	27200	27198
Sun Apr 30 20:59:33 2023	1682902773	1	27199	27200	27198
Sun Apr 30 20:58:05 2023	1682902685	0	27200	27200	27198
Sun Apr 30 20:59:35 2023	1682902775	0	27201	27201	27201
Sun Apr 30 20:56:31 2023	1682902591	1	27200	27201	27200
Sun Apr 30 20:59:31 2023	1682902771	1	27201	27202	27201
Sun Apr 30 20:59:37 2023	1682902777	1	27202	27203	27201
Sun Apr 30 20:59:35 2023	1682902775	0	27206	27206	27206
Sun Apr 30 20:56:12 2023	1682902572	1	27205	27206	27205
Sun Apr 30 20:57:33 2023	1682902653	2	27204	27206	27204
Sun Apr 30 20:56:13 2023	1682902573	0	27207	27207	27206
Sun Apr 30 20:57:16 2023	1682902636	1	27207	27207	27206
Sun Apr 30 20:56:29 2023	1682902589	0	27208	27208	27208
Sun Apr 30 20:56:10 2023	1682902570	1	27208	27209	27208
Sun Apr 30 20:59:32 2023	1682902772	1	27208	27209	27208
Sun Apr 30 20:57:20 2023	1682902640	1	27208	27209	27207
Sun Apr 30 20:58:43 2023	1682902723	1	27208	27209	27208
Sun Apr 30 20:56:44 2023	1682902604	0	27210	27210	27209
Sun Apr 30 20:59:33 2023	1682902773	0	27210	27210	27210
Sun Apr 30 20:56:09 2023	1682902569	1	27209	27210	27209
Sun Apr 30 20:56:29 2023	1682902589	1	27209	27210	27209
Sun Apr 30 20:56:10 2023	1682902570	1	27210	27211	27210
Sun Apr 30 20:57:24 2023	1682902644	1	27210	27211	27209
Sun Apr 30 20:59:36 2023	1682902776	0	27211	27211	27210
Sun Apr 30 20:59:34 2023	1682902774	1	27210	27211	27209
Sun Apr 30 20:59:36 2023	1682902776	1	27211	27212	27210
Sun Apr 30 20:56:07 2023	1682902567	1	27211	27212	27211
Sun Apr 30 20:57:14 2023	1682902634	1	27213	27214	27212
Sun Apr 30 20:57:16 2023	1682902636	0	27214	27214	27214
Sun Apr 30 20:58:41 2023	1682902721	0	27214	27214	27214
Sun Apr 30 20:58:01 2023	1682902681	1	27214	27215	27214
Sun Apr 30 20:57:30 2023	1682902650	1	27215	27216	27215
Sun Apr 30 20:57:21 2023	1682902641	0	27218	27218	27217
Sun Apr 30 20:57:22 2023	1682902642	0	27219	27219	27203
Sun Apr 30 20:56:32 2023	1682902592	1	27219	27220	27219
Sun Apr 30 20:58:04 2023	1682902684	1	27219	27220	27219
Sun Apr 30 20:58:06 2023	1682902686	3	27217	27220	27217
Sun Apr 30 20:59:33 2023	1682902773	0	27220	27220	27220
Sun Apr 30 20:59:33 2023	1682902773	0	27220	27220	27219
Sun Apr 30 20:56:08 2023	1682902568	1	27219	27220	27219
Sun Apr 30 20:57:31 2023	1682902651	1	27219	27220	27219
Sun Apr 30 20:58:06 2023	1682902686	0	27220	27220	27219
Sun Apr 30 20:57:22 2023	1682902642	0	27220	27220	27219
Sun Apr 30 20:56:13 2023	1682902573	1	27219	27220	27219
Sun Apr 30 20:57:15 2023	1682902635	1	27219	27220	27219
Sun Apr 30 20:56:08 2023	1682902568	1	27219	27220	27219
Sun Apr 30 20:56:33 2023	1682902593	1	27220	27221	27220
Sun Apr 30 20:59:34 2023	1682902774	1	27220	27221	27220
Sun Apr 30 20:56:35 2023	1682902595	0	27222	27222	27222
Sun Apr 30 20:57:33 2023	1682902653	1	27221	27222	27221
Sun Apr 30 20:57:23 2023	1682902643	1	27221	27222	27221
Sun Apr 30 20:56:07 2023	1682902567	1	27221	27222	27221
Sun Apr 30 20:58:07 2023	1682902687	1	27221	27222	27220
Sun Apr 30 20:59:34 2023	1682902774	0	27223	27223	27222
Sun Apr 30 20:57:22 2023	1682902642	1	27222	27223	27222
Sun Apr 30 20:58:04 2023	1682902684	1	27222	27223	27222
Sun Apr 30 20:57:27 2023	1682902647	1	27224	27225	27224
Sun Apr 30 20:57:33 2023	1682902653	0	27226	27226	27226
Sun Apr 30 20:56:06 2023	1682902566	1	27226	27227	27225
Sun Apr 30 20:56:13 2023	1682902573	1	27227	27228	27226
Sun Apr 30 20:56:43 2023	1682902603	0	27229	27229	27219
Sun Apr 30 20:56:43 2023	1682902603	0	27229	27229	27228
Sun Apr 30 20:56:06 2023	1682902566	0	27229	27229	27229
Sun Apr 30 20:57:18 2023	1682902638	0	27230	27230	27229
Sun Apr 30 20:56:33 2023	1682902593	1	27229	27230	27229
Sun Apr 30 20:57:19 2023	1682902639	0	27230	27230	27229
Sun Apr 30 20:57:14 2023	1682902634	2	27228	27230	27227
Sun Apr 30 20:56:36 2023	1682902596	1	27229	27230	27229
Sun Apr 30 20:56:16 2023	1682902576	1	27229	27230	27229
Sun Apr 30 20:56:43 2023	1682902603	1	27229	27230	27229
Sun Apr 30 20:56:33 2023	1682902593	1	27229	27230	27228
Sun Apr 30 20:58:06 2023	1682902686	1	27229	27230	27229
Sun Apr 30 20:59:31 2023	1682902771	0	27230	27230	27230
Sun Apr 30 20:55:54 2023	1682902554	1	27230	27231	27229
Sun Apr 30 20:56:17 2023	1682902577	0	27231	27231	27230
Sun Apr 30 20:59:34 2023	1682902774	1	27231	27232	27231
Sun Apr 30 20:57:33 2023	1682902653	0	27232	27232	27226
Sun Apr 30 20:56:10 2023	1682902570	0	27234	27234	27233
Sun Apr 30 20:57:25 2023	1682902645	0	27235	27235	27233
Sun Apr 30 20:57:24 2023	1682902644	0	27236	27236	27236
Sun Apr 30 20:57:31 2023	1682902651	1	27236	27237	27236
Sun Apr 30 20:57:32 2023	1682902652	1	27236	27237	27236
Sun Apr 30 20:57:17 2023	1682902637	0	27239	27239	27239
Sun Apr 30 20:56:34 2023	1682902594	0	27239	27239	27238
Sun Apr 30 20:57:18 2023	1682902638	1	27238	27239	27238
Sun Apr 30 20:56:32 2023	1682902592	0	27239	27239	27239
Sun Apr 30 20:57:27 2023	1682902647	0	27239	27239	27239
Sun Apr 30 20:57:17 2023	1682902637	0	27239	27239	27238
Sun Apr 30 20:56:15 2023	1682902575	1	27238	27239	27237
Sun Apr 30 20:58:01 2023	1682902681	0	27239	27239	27239
